CODIGOAPOYO;PINTADOAPOYO;X;Y;CODIGOGEOGRAFICO
4288;1049101;1105711;1280555;67
11005;1147846;1104991;1280178;67
6785;1075519;1105128;1279953;67
6786;1075527;1105116;1279948;67
6787;1075535;1105119;1279960;67
6788;1075543;1105090;1279942;67
6789;1075551;1105083;1279949;67
7071;1104691;1105118;1280444;67
7152;1082311;1104730;1280064;67
7154;1082329;1104725;1280105;67
7156;1082337;1104726;1280115;67
7158;1082345;1104723;1280117;67
7159;1082353;1104728;1280117;67
6776;1093827;1105031;1279971;67
6777;1093835;1105016;1279979;67
6778;1093843;1105022;1279977;67
6779;1093851;1105012;1279989;67
6782;1075489;1105163;1280042;67
6783;1075497;1105159;1280038;67
6784;1075501;1105180;1280047;67
7294;1113402;1105684;1280592;67
7295;1113411;1105678;1280603;67
7296;1113429;1105682;1280597;67
7297;1113437;1105687;1280596;67
7267;1113381;1105501;1280551;67
7269;1113399;1105490;1280563;67
7270;1113445;1105495;1280550;67
7271;1113453;1105497;1280550;67
9111;1102923;1105184;1280097;67
9118;1102931;1105171;1280157;67
9119;1102940;1105163;1280168;67
9087;1102885;1105270;1280070;67
9089;1102893;1105270;1280079;67
9093;1102907;1105212;1280063;67
9094;1102915;1105208;1280071;67
7149;1082299;1104777;1280063;67
7150;1082302;1104770;1280080;67
4289;1049119;1105766;1280559;67
9082;1102851;1105337;1280078;67
9083;1102877;1105345;1280075;67
7264;1113356;1105504;1280525;67
7266;1113372;1105495;1280547;67
7076;1104705;1105116;1280445;67
1808;4939930;1105067;1279941;67
1810;1064541;1105676;1280157;67
1812;1055135;1105006;1279928;67
1778;1055071;1105008;1280097;67
1783;1061844;1105752;1280255;67
1784;1055089;1105002;1280071;67
1785;1064495;1105535;1280131;67
1791;1064509;1105586;1280135;67
2759;1069284;1105307;1280024;67
2760;1069292;1105293;1279978;67
2761;1069306;1105229;1279973;67
2247;1059246;1104763;1280415;67
2248;1059254;1104768;1280369;67
2065;1068334;1105341;1280764;67
1794;1064517;1105622;1280141;67
1761;1061828;1105644;1280233;67
2231;1059173;1104828;1280468;67
2236;1059181;1104842;1280464;67
2202;1068881;1105311;1280267;67
2204;1068890;1105283;1280267;67
1645;1064452;1105396;1280095;67
1647;1064479;1105436;1280109;67
1648;1055020;1105006;1280146;67
1650;1068032;1105421;1280388;67
1653;1064487;1105473;1280117;67
1622;1061755;1105422;1280187;67
1623;1055011;1105045;1280202;67
1626;1061771;1105459;1280196;67
1627;1068016;1105317;1280366;67
1628;1061780;1105472;1280201;67
1631;1061798;1105531;1280217;67
1634;1064436;1105330;1280088;67
1635;1061801;1105541;1280214;67
1640;1064444;1105329;1280076;67
