CODIGOTRAMOBT;X1;Y1;X2;Y2;LONGITUD;ACOMETIDA
159718;468695;1553760;468655;1553831;0;N
159721;468616;1553900;468654;1553936;0;N
159724;468708;1553731;468657;1553787;0;N
159727;468748;1553689;468728;1553738;0;N
159730;468762;1553597;468720;1553607;0;N
159733;468760;1553566;468727;1553601;0;N
159736;468753;1553631;468746;1553675;0;N
159739;468718;1553636;468765;1553720;0;N
159742;468792;1553682;468737;1553728;0;N
159745;468831;1553642;468805;1553667;0;N
159748;468870;1553597;468839;1553624;0;N
159751;468827;1553646;468839;1553650;0;N
159754;468943;1553606;468869;1553606;0;N
159757;468866;1553648;468927;1553657;0;N
159760;468928;1553778;468937;1553799;0;N
159763;468940;1553559;468928;1553611;0;N
159766;468927;1553750;468929;1553714;0;N
159769;468657;1554011;468657;1554058;0;S
159772;468826;1554039;468770;1554082;0;S
159775;468713;1554129;468707;1554084;0;N
159778;468778;1554194;468736;1554125;0;N
159781;468783;1554204;468770;1554186;0;N
159784;468777;1553756;468763;1553784;0;N
159787;468813;1553761;468800;1553764;0;N
159790;468889;1553760;468837;1553795;0;N
159793;468902;1553751;468869;1553728;0;N
159796;468944;1553751;468923;1553751;0;N
159799;468812;1554210;468799;1554214;0;N
159802;468737;1554048;468771;1554031;0;N
159805;468776;1554005;468793;1554058;0;N
159808;468812;1554030;468841;1554050;0;N
159811;468849;1554034;468912;1554081;0;N
159814;468878;1554099;468920;1554114;0;N
159817;468717;1554029;468671;1554087;0;S
159820;468687;1554100;468694;1554136;0;S
159823;468827;1554250;468801;1554218;0;S
159826;468728;1554130;468704;1554149;0;S
159829;468702;1554122;468721;1554159;0;S
159832;468718;1554139;468695;1554136;0;S
159835;468714;1554105;468767;1554087;0;S
159838;468755;1554217;468820;1554137;0;N
159841;468773;1554145;468835;1554171;0;N
159844;468848;1554148;468799;1554125;0;N
159847;468806;1554184;468815;1554128;0;N
159850;468737;1554178;468728;1554150;0;S
159853;468767;1554160;468742;1554200;0;S
159856;468735;1554166;468751;1554191;0;S
159859;468780;1554153;468742;1554175;0;S
159862;468752;1554197;468724;1554133;0;S
159865;468784;1553700;468788;1553748;0;S
159868;468769;1554162;468780;1554145;0;S
159871;468864;1554115;468821;1554128;0;S
159874;468749;1554181;468782;1554207;0;S
159877;468759;1554167;468803;1554165;0;S
159880;468791;1554164;468816;1554193;0;S
159883;468832;1554147;468817;1554168;0;S
159886;468808;1554172;468835;1554210;0;S
159889;468748;1554216;468790;1554186;0;S
159892;468778;1554189;468764;1554177;0;S
159895;468811;1554130;468797;1554120;0;S
159898;468811;1554117;468817;1554122;0;S
159901;468783;1554172;468829;1554158;0;S
159904;468784;1554157;468770;1554104;0;S
159907;468795;1554168;468791;1554111;0;S
159910;468816;1554210;468797;1554279;0;S
159913;468747;1554171;468784;1554226;0;S
159916;468808;1554209;468809;1554224;0;S
159919;468846;1554130;468847;1554120;0;S
159922;468797;1554225;468784;1554234;0;S
159925;468824;1554092;468778;1554109;0;S
159928;468809;1554140;468801;1554160;0;S
159931;468803;1554126;468799;1554138;0;S
159934;468799;1554126;468801;1554113;0;S
159937;468857;1554125;468826;1554139;0;S
159940;468851;1554100;468840;1554065;0;S
159943;468859;1554129;468854;1554095;0;S
159946;468830;1554108;468859;1554094;0;S
159949;468879;1553889;468834;1553924;0;N
159952;468825;1553880;468839;1553927;0;N
159955;468839;1553943;468885;1553977;0;N
159958;468809;1554028;468825;1553983;0;N
159961;468802;1554140;468827;1554142;0;S
159964;468815;1554111;468821;1554168;0;S
159967;468838;1554046;468877;1554015;0;N
159970;468884;1554023;468966;1554048;0;N
159973;468928;1554812;468943;1554846;0;N
159976;468881;1554309;468855;1554258;0;N
159979;468883;1554283;468930;1554265;0;N
159982;468915;1554851;468893;1554890;0;N
159985;468924;1554748;468891;1554757;0;N
159988;468870;1554771;468894;1554813;0;N
159991;468951;1554647;468935;1554634;0;N
159994;468992;1554738;468939;1554737;0;N
159997;468906;1554297;468927;1554259;0;N
160000;468945;1554267;468957;1554295;0;N
160003;468864;1554029;468895;1553989;0;N
160006;468875;1553873;468891;1553904;0;N
160009;468868;1553954;468906;1553965;0;N
160012;468914;1553918;468934;1553954;0;N
160015;468902;1553944;468911;1553957;0;N
160018;468873;1554315;468889;1554328;0;N
160021;468937;1554349;468911;1554328;0;N
160024;468930;1554393;468908;1554370;0;N
160027;468987;1554722;468948;1554648;0;N
160030;468904;1553922;468951;1553951;0;N
160033;468958;1553692;468956;1553704;0;N
160036;468992;1553756;468941;1553767;0;N
160039;468977;1553878;468981;1553805;0;N
160042;468997;1553537;468981;1553582;0;N
160045;468976;1553902;468950;1553903;0;N
160048;468947;1553774;468981;1553713;0;N
160051;468976;1553807;468950;1553784;0;N
160054;468945;1554224;468962;1554204;0;N
160057;469005;1554732;468983;1554704;0;S
160060;468974;1553902;468979;1553846;0;N
160063;469013;1554690;468975;1554729;0;N
160066;468949;1553751;468972;1553684;0;N
160069;468943;1554863;469011;1554856;0;S
160072;469016;1553716;468971;1553724;0;N
160075;468942;1553924;469005;1553876;0;N
160078;468997;1553942;469010;1553873;0;N
160081;468988;1554197;468979;1554256;0;N
160084;469057;1553648;468993;1553658;0;N
160087;468958;1554203;468996;1554174;0;N
160090;469103;1553463;469021;1553525;0;N
160093;469026;1554838;469014;1554794;0;S
160096;468994;1553668;469023;1553664;0;N
160099;469059;1553879;469042;1553939;0;N
160102;469080;1554071;469037;1554040;0;N
160105;469071;1554572;469013;1554606;0;S
160108;469050;1553613;469053;1553617;0;N
160111;469108;1554652;469050;1554688;0;N
160114;469051;1553756;469027;1553734;0;N
160117;469071;1554815;469049;1554784;0;S
160120;469045;1553612;469041;1553618;0;N
160123;469037;1554802;469052;1554782;0;S
160126;468989;1554182;469032;1554153;0;N
160129;469056;1554116;469050;1554054;0;N
160132;469075;1555013;469054;1554993;0;S
160135;469036;1554800;469071;1554758;0;S
160138;469097;1553569;469077;1553575;0;N
160141;469111;1554121;469083;1554105;0;N
160144;469110;1553484;469098;1553489;0;N
160147;469140;1553827;469088;1553798;0;N
160150;468793;1553669;468789;1553679;0;S
160153;469071;1553840;469083;1553762;0;N
160156;468714;1554112;468732;1554136;0;S
160159;468780;1554149;468779;1554185;0;S
160162;468784;1554230;468781;1554279;0;S
160165;468783;1554255;468822;1554265;0;S
160168;468822;1554222;468823;1554287;0;S
160171;468818;1554207;468824;1554242;0;S
160174;468827;1554166;468824;1554184;0;S
160177;468862;1554103;468833;1554104;0;S
160180;468836;1554101;468889;1554108;0;S
160183;468868;1555317;468853;1555411;0;S
160186;468867;1555366;468819;1555354;0;S
160189;468846;1555411;468818;1555399;0;N
160192;468827;1555367;468823;1555350;0;N
160195;468836;1555360;468826;1555412;0;S
160198;468844;1555358;468848;1555419;0;S
160201;468827;1554125;468830;1554126;0;S
160204;468853;1554129;468863;1554138;0;S
160207;468813;1554113;468847;1554149;0;S
160210;468982;1554442;468933;1554374;0;N
160213;469000;1554488;468943;1554423;0;N
160216;469039;1554524;468960;1554458;0;N
160219;469053;1554583;469014;1554490;0;N
160222;468870;1554287;468917;1554320;0;S
160225;469104;1554233;469050;1554226;0;S
160228;468938;1553752;468919;1553788;0;S
160231;468996;1553687;469066;1553653;0;S
160234;468893;1554343;468940;1554379;0;S
160237;468953;1554724;468912;1554720;0;S
160240;468943;1554408;468952;1554396;0;S
160243;468929;1554391;468947;1554414;0;S
160246;468957;1554815;468954;1554860;0;N
160249;468951;1554825;468971;1554897;0;N
160252;469015;1554806;468973;1554826;0;N
160255;469067;1554786;469041;1554833;0;N
160258;469005;1554802;469021;1554878;0;N
160261;469067;1554794;469053;1554809;0;N
160264;468960;1554123;468959;1554081;0;N
160267;469000;1554072;469013;1554048;0;N
160270;469057;1554000;469049;1553996;0;S
160273;469044;1554578;469048;1554541;0;N
160276;469105;1554643;469053;1554575;0;N
160279;469116;1555016;469046;1555056;0;N
160282;469090;1553827;469035;1553839;0;N
160285;469088;1553839;469071;1553908;0;N
160288;469016;1554055;469088;1554021;0;N
160291;469113;1553858;469100;1553845;0;N
160294;468986;1554852;468939;1554810;0;S
160297;468952;1554670;468999;1554651;0;S
160300;469051;1554611;469032;1554657;0;S
160303;468995;1555328;468981;1555378;0;S
160306;468931;1555553;468918;1555482;0;N
160309;468982;1555328;468990;1555353;0;N
160312;469059;1555305;468998;1555276;0;N
160315;469080;1555297;469046;1555262;0;N
160318;469098;1555284;469059;1555287;0;N
160321;468958;1554859;468952;1554788;0;S
160324;469044;1554843;469019;1554798;0;S
160327;468970;1554817;468995;1554822;0;S
160330;469044;1554551;468991;1554553;0;S
160333;469050;1554542;469010;1554555;0;S
160336;469006;1555340;469010;1555391;0;S
160339;469006;1555351;469004;1555346;0;S
160342;469015;1555288;469015;1555283;0;S
160345;469019;1555312;469039;1555363;0;S
160348;469050;1555277;469058;1555273;0;S
160351;468993;1555341;469016;1555364;0;S
160354;468991;1555333;468982;1555377;0;S
160357;469119;1554787;469084;1554800;0;N
160360;469104;1554608;469087;1554658;0;N
160363;469089;1553903;469110;1553929;0;N
160366;469062;1554180;469089;1554137;0;N
160369;469154;1555027;469102;1555013;0;N
160372;469062;1554213;469109;1554210;0;N
160375;469131;1555327;469102;1555304;0;N
160378;469143;1553759;469095;1553792;0;N
160381;469095;1553987;469137;1553983;0;N
160384;469159;1554726;469152;1554743;0;S
160387;469124;1554787;469150;1554836;0;N
160390;469143;1553505;469147;1553447;0;N
160393;469175;1553958;469106;1553917;0;N
160396;469120;1554112;469138;1554178;0;S
160399;469176;1554771;469148;1554832;0;N
160402;469197;1554971;469127;1555003;0;N
160405;469089;1553964;469168;1553947;0;N
160408;469125;1553948;469134;1554026;0;N
160411;469130;1553976;469169;1554072;0;N
160414;469165;1553496;469135;1553480;0;N
160417;469157;1554052;469186;1554093;0;N
160420;469047;1555294;468985;1555275;0;S
160423;469137;1553892;469128;1553840;0;N
160426;469281;1554973;469204;1554952;0;N
160429;469066;1555266;469033;1555244;0;S
160432;469087;1555270;469078;1555241;0;S
160435;469097;1555291;469118;1555283;0;S
160438;469121;1555331;469152;1555288;0;S
160441;469184;1555294;469175;1555266;0;S
160444;469196;1555324;469209;1555343;0;S
160447;469204;1555327;469196;1555281;0;S
160450;469101;1553868;469066;1553843;0;S
160453;469124;1553867;469100;1553851;0;S
160456;469130;1554654;469112;1554655;0;N
160459;469154;1554680;469099;1554684;0;N
160462;469169;1554764;469163;1554682;0;N
160465;469187;1554754;469170;1554737;0;N
160468;469200;1554829;469165;1554756;0;N
160471;469207;1554830;469221;1554797;0;N
160474;469228;1554885;469204;1554867;0;N
160477;469144;1554090;469085;1554120;0;N
160480;469179;1554108;469153;1554119;0;N
160483;469157;1554111;469182;1554079;0;N
160486;469211;1555328;469122;1555321;0;N
160489;469213;1555278;469188;1555287;0;N
160492;469272;1555261;469201;1555262;0;N
160495;469244;1555295;469182;1555283;0;S
160498;469218;1554982;469135;1554975;0;S
160501;469267;1555058;469208;1555063;0;S
160504;469132;1555032;469087;1554976;0;S
160507;469113;1555017;469089;1555020;0;S
160510;469152;1555028;469111;1554965;0;S
160513;469173;1554999;469200;1555022;0;S
160516;469260;1555055;469248;1555021;0;S
160519;469286;1555064;469234;1555016;0;S
160522;469247;1554964;469237;1554877;0;N
160525;469321;1555235;469277;1555280;0;N
160528;469248;1555070;469277;1555022;0;S
160531;469306;1555130;469313;1555145;0;N
160534;469108;1553844;469122;1553765;0;S
160537;469155;1554788;469107;1554860;0;S
160540;469147;1554829;469155;1554783;0;S
160543;469156;1554830;469164;1554791;0;S
160546;469203;1554834;469192;1554873;0;S
160549;469280;1554977;469200;1554928;0;S
160552;469227;1554939;469199;1554965;0;S
160555;469280;1554947;469181;1554958;0;S
160558;469279;1554932;469263;1554977;0;S
160561;469225;1555261;469180;1555263;0;S
160564;469217;1555285;469226;1555229;0;S
160567;469234;1555262;469227;1555212;0;S
160570;469269;1555069;469221;1555099;0;S
160573;469284;1555082;469233;1555086;0;S
160576;469283;1555233;469246;1555241;0;S
160579;469313;1555261;469277;1555213;0;S
160582;469237;1555035;469271;1554937;0;N
160585;469292;1555069;469235;1555023;0;N
160588;469262;1555107;469273;1555037;0;N
160591;469305;1555116;469263;1555116;0;N
160594;469316;1555244;469287;1555245;0;N
160597;469288;1555242;469228;1555229;0;S
160600;469242;1555258;469271;1555219;0;N
160603;469232;1554932;469278;1555015;0;S
160606;469282;1555113;469282;1555197;0;S
160609;469212;1554920;469253;1554936;0;S
160612;469130;1554981;469168;1554979;0;S
160615;469265;1554952;469291;1554968;0;S
160618;469277;1555117;469243;1555143;0;S
160621;469287;1555084;469218;1555083;0;S
160624;469289;1555134;469223;1555137;0;S
160627;469303;1555153;469307;1555104;0;S
160630;469367;1555208;469284;1555252;0;N
160633;469266;1555129;469274;1555179;0;N
160636;469309;1555238;469321;1555211;0;S
160639;469326;1555138;469340;1555121;0;N
160642;469318;1555231;469313;1555204;0;S
160645;469408;1555193;469351;1555206;0;N
160648;469471;1555158;469393;1555177;0;N
160651;469514;1555161;469435;1555166;0;N
160654;469303;1555145;469235;1555153;0;S
160657;469426;1555165;469411;1555170;0;N
160660;469253;1555208;469241;1555239;0;S
160663;469304;1555247;469261;1555222;0;S
160666;469437;1555198;469448;1555194;0;S
160669;469431;1555138;469443;1555115;0;S
160672;469453;1555135;469428;1555116;0;S
160675;469444;1555182;469461;1555201;0;S
160678;469428;1555167;469474;1555178;0;S
160681;469463;1555133;469478;1555166;0;S
160684;469457;1555156;469459;1555196;0;S
160687;469497;1555163;469507;1555168;0;S
160690;469530;1555186;469574;1555151;0;S
160693;469638;1555210;469583;1555202;0;S
160696;469614;1555205;469616;1555246;0;S
160699;469607;1555224;469628;1555236;0;S
160702;469763;1554334;469749;1554340;0;N
160705;469561;1555212;469535;1555214;0;N
160708;469620;1554377;469563;1554389;0;N
160711;469637;1554409;469601;1554340;0;N
160714;469637;1554317;469616;1554306;0;N
160717;469675;1554463;469624;1554508;0;N
160720;469630;1554290;469656;1554353;0;N
160723;469648;1554347;469647;1554398;0;N
160726;469633;1554385;469671;1554420;0;N
160729;469635;1554375;469681;1554452;0;N
160732;469640;1554411;469667;1554470;0;N
160735;469633;1554264;469636;1554248;0;N
160738;469654;1554284;469653;1554288;0;N
160741;469681;1554251;469662;1554285;0;N
160744;469684;1554322;469701;1554310;0;N
160747;469748;1554231;469698;1554231;0;N
160750;469746;1554293;469696;1554288;0;N
160753;469747;1554248;469687;1554166;0;N
160756;469707;1554306;469694;1554307;0;N
160759;469744;1554226;469713;1554228;0;N
